"paper_id","run_at","success","error","elapsed_ms","download_ms","llm_ms","column_ms","n_files","n_data_files","n_tabular_files","n_agg_dirs","n_individual","n_combined","n_columns","n_src_files"
"0956797618772822","2026-04-02 14:20:49",TRUE,NA,10161,5,8505,1642,5,4,4,0,0,4,86,4
"0956797615583804","2026-04-07 15:03:38",TRUE,NA,4,0,0,2,6,1,0,0,0,1,0,0
"0956797617698226","2026-04-02 14:22:04",TRUE,NA,69269,56,52303,16907,134,38,38,1,38,0,38,38
"0956797614561045","2026-04-02 14:23:22",TRUE,NA,78569,53,21334,57179,100,98,49,0,0,98,686,49
"0956797615583038","2026-04-02 14:23:34",TRUE,NA,11718,19,8410,3286,22,4,4,0,0,4,276,4
"0956797614567511","2026-04-02 14:23:40",TRUE,NA,5641,4,2851,2784,4,3,3,0,0,3,16,3
"0956797617700622","2026-04-02 14:23:49",TRUE,NA,8908,7,7254,1643,10,2,2,0,0,2,72,2
"0956797614537833","2026-04-02 14:23:52",TRUE,NA,3615,7,3569,35,2,1,1,0,0,1,28,1
"0956797614557867","2026-04-02 14:24:22",TRUE,NA,29359,26,5599,23732,17,9,9,0,0,9,2055,5
"0956797617718816","2026-04-02 14:24:38",TRUE,NA,16786,11,4276,12497,5,4,4,0,0,4,122,4
"0956797614534695","2026-04-02 14:24:47",TRUE,NA,8496,7,5605,2881,4,3,3,0,0,3,19,3
"0956797618774252","2026-04-02 14:25:14",TRUE,NA,26959,18,26544,394,40,8,8,0,0,8,330,8
"0956797614547916","2026-04-02 14:26:20",TRUE,NA,66402,42,66056,300,193,111,111,0,0,111,111,111
"0956797614552828","2026-04-02 14:26:30",TRUE,NA,9432,6,7676,1747,7,2,2,0,0,2,256,2
"0956797617736386","2026-04-02 14:26:33",TRUE,NA,3555,6,3457,87,4,3,3,0,0,3,65,3
"0956797617713798","2026-04-02 14:27:06",TRUE,NA,33101,23,31307,1768,60,5,5,0,0,5,223,5
"0956797616638307","2026-04-07 15:00:28",TRUE,NA,3,0,0,2,2,0,0,0,0,0,0,0
